iter	RMSE
0	39.6120468
1	37.68143905
2	35.90423934
3	34.2726653
4	32.76999477
5	31.38444528
6	30.11386273
7	28.96133568
8	27.90011231
9	26.91477176
10	26.01401521
11	25.19873733
12	24.4506564
13	23.79177998
14	23.14724612
15	22.58547549
16	22.07326633
17	21.59778452
18	21.18484245
19	20.80776647
20	20.46984924
21	20.15968773
22	19.88166717
23	19.63311336
24	19.41254517
25	19.21229129
26	19.03571313
27	18.8808179
28	18.73159946
29	18.59699656
30	18.47190231
31	18.36119601
32	18.25896609
33	18.17071644
34	18.08759532
35	18.01535145
36	17.94841376
37	17.88817852
38	17.83532973
39	17.78783926
40	17.74265616
41	17.70749924
42	17.66985461
43	17.6353994
44	17.60065346
45	17.57130277
46	17.54730118
47	17.52824794
48	17.50423843
49	17.48194369
50	17.46112134
51	17.44306766
52	17.425838
53	17.40702142
54	17.39186128
55	17.37516517
56	17.3616092
57	17.35336746
58	17.34317003
59	17.33195321
60	17.32449344
61	17.3147128
62	17.30415328
63	17.29535699
64	17.2882491
65	17.28170806
66	17.27316082
67	17.26495486
68	17.2617389
69	17.25337262
70	17.24867678
71	17.24447599
72	17.23792886
73	17.23238515
74	17.22649797
75	17.22241178
76	17.21492463
77	17.20796774
78	17.19709648
79	17.18894557
80	17.18126272
81	17.17478103
82	17.1671767
83	17.16143133
84	17.15424972
85	17.14331149
86	17.13260574
87	17.12518261
88	17.12165043
89	17.11798791
90	17.11313326
91	17.10808594
92	17.10015574
93	17.09631262
94	17.09014262
95	17.08460377
96	17.07555997
97	17.06948386
98	17.06347114
99	17.05775693
100	17.05275434
101	17.04871695
102	17.04255798
103	17.03303246
104	17.01965935
105	17.01260642
106	17.00312694
107	16.99547128
108	16.99103401
109	16.98549934
110	16.97587301
111	16.96972055
112	16.96199958
113	16.95467204
114	16.94709092
115	16.94426536
116	16.93843904
117	16.93605857
118	16.92925004
119	16.92078803
120	16.91347154
121	16.91172651
122	16.9093026
123	16.90059456
124	16.89801562
125	16.89174069
126	16.88501519
127	16.87920314
128	16.87594504
129	16.86915062
130	16.86204831
131	16.86026658
132	16.85744496
133	16.8539788
134	16.84731685
135	16.83986987
136	16.83737965
137	16.83522864
138	16.82364811
139	16.81717218
140	16.81456106
141	16.81052201
142	16.80614392
143	16.79690323
144	16.79409063
145	16.79007463
146	16.78500388
147	16.77642249
148	16.77044765
149	16.76373348
150	16.75486086
151	16.74984419
152	16.74268986
153	16.73536175
154	16.72833995
155	16.71535855
156	16.7075077
157	16.70347755
158	16.69275301
159	16.68847454
160	16.68331818
161	16.68018553
162	16.67441373
163	16.67163193
164	16.66682058
165	16.65413343
166	16.64427292
167	16.63914719
168	16.63471152
169	16.62323684
170	16.61820803
171	16.61142436
172	16.60866848
173	16.60669769
174	16.60361789
175	16.60044754
176	16.58886654
177	16.58129384
178	16.57283491
179	16.56563279
180	16.55965492
181	16.55718417
182	16.54484671
183	16.53778555
184	16.53001514
185	16.51811718
186	16.51312566
187	16.50892701
188	16.50284027
189	16.49107691
190	16.48049654
191	16.47671653
192	16.47419783
193	16.46588577
194	16.45543072
195	16.44382378
196	16.43515012
197	16.42446555
198	16.41953478
199	16.40834037
200	16.3963194
201	16.39057894
202	16.38446541
203	16.38079816
204	16.37011835
205	16.35889678
206	16.35104187
207	16.34496441
208	16.33298385
209	16.32823637
210	16.32582234
211	16.32189388
212	16.31839346
213	16.31264411
214	16.30551633
215	16.29892568
216	16.28865125
217	16.28290897
218	16.27979951
219	16.26937899
